event_id,event_month,account_id,rep_id,event_type,demand_source_raw,demand_source_clean,segment,market,arr_eur
EVT-0262,2026-04,ACC-013,REP-006,SQL,SDR Outbound,SDR Outbound,Enterprise,DE,98100
EVT-0263,2026-04,ACC-023,REP-014,Opportunity Created,sdr outbound,SDR Outbound,Enterprise,ES,153900
EVT-0264,2026-04,ACC-023,REP-014,MQL,SDR,SDR Outbound,Enterprise,ES,109800
EVT-0265,2026-05,ACC-037,REP-006,Lead Created,AE outbound,AE Outbound,Mid-Market,DE,20000
EVT-0266,2026-05,ACC-018,REP-011,SQL,mktg,Marketing,Mid-Market,NL,32000
EVT-0267,2026-05,ACC-030,REP-003,MQL,Marketing,Marketing,Mid-Market,UKI,33600
EVT-0268,2026-05,ACC-015,REP-006,Demo Completed,SDR Outbound,SDR Outbound,SMB,DE,7200
EVT-0269,2026-05,ACC-022,REP-010,MQL,Marketing,Marketing,Mid-Market,NL,35200
EVT-0270,2026-05,ACC-005,REP-012,Lead Created,Marketing,Marketing,SMB,DK,7200
EVT-0271,2026-05,ACC-025,REP-016,SQL,SDR,SDR Outbound,SMB,ES,15300
EVT-0272,2026-05,ACC-017,REP-006,Closed Won,SDR,SDR Outbound,Mid-Market,DE,34200
EVT-0273,2026-05,ACC-002,REP-012,SQL,MKT,Marketing,Enterprise,DK,125600
EVT-0274,2026-05,ACC-012,REP-009,Closed Lost,Inbound,Marketing,SMB,SE,6400
EVT-0275,2026-05,ACC-022,REP-011,Lead Created,SDR Outbound,SDR Outbound,Mid-Market,NL,50400
